accumulated_rewards,total_staked,block_number,timestamp,deltaGeneratedRewards,deltaRewardsForLsDistribution,rewardsForLsDistribution
734586112382,35090629951333,3010704,1716359592000,0,0.0,6.498908024207452194319948588941849700859823073277342309861839750098096501363794e+11
734586112382,35090629951333,3010705,1716359604000,0,0.0,6.498908024207452194319948588941849700859823073277342309861839750098096501363794e+11
734588426670,35090632265621,3010706,1716359616000,2314288,2.041584571827326105195189700542118997472638856868654545308158068308039174855153e+06,6.49892844005317046758100054083885512204979779966591099640729283167877958175555e+11
734603823801,35090647662752,3010707,1716359628000,15397131,1.358281633576458130358219768772454904741862607306751054941771297687421706652914e+07,6.499064268216528113394036362815732367540271985926641671512787008808548323926217e+11
734618755613,35090662594564,3010708,1716359640001,14931812,1.317232467195291695675349064033246725654208258947809311290882819098343495260566e+07,6.499195991463247642563603897722135692212837406752536452443916097090458158275746e+11
734634897530,35090678736481,3010709,1716359652002,16141917,1.423983375094248478197947941498375838875871527718864950263998431013813215114126e+07,6.499338389800757067411423692516285529796724993905308338938942496933559539597282e+11
734647657407,35090691496358,3010710,1716359664001,12759877,1.125631343872740819979818590579618455685923769782253170115333850781931607085856e+07,6.49945095293514434149342167437534349164229358628228656425595403031863773275791e+11
734668831371,35090712670322,3010711,1716359676000,21173964,1.867892088782370701772107258013254444805804772698273585807424524521286225388487e+07,6.499637742144022578563598885101144817086774166759556391614534772771089861380529e+11
734688217943,35090732056894,3010712,1716359688000,19386572,1.710213983872850475795739008192499387028323218075493133715818921580868146764008e+07,6.499808763542409863611178459001964067025476999081363940927906354663247948195169e+11
734703327122,35090747166073,3010713,1716359700000,15109179,1.332877195788757244510568213020342011914161881096002042274981889998965548806416e+07,6.499942051261988739335629515823266101226668415269473541132133852852247844750036e+11
734703327122,35090747166073,3010714,1716359712006,0,0.0,6.499942051261988739335629515823266101226668415269473541132133852852247844750036e+11
734719445419,35090763284370,3010715,1716359724001,16118297,1.421897855621572328323342260806177215923494909354236030336258151870252290281863e+07,6.500084241047550896568461850049346718948260764760408964735167478667434869979052e+11
734737317587,35090781156538,3010716,1716359736003,17872168,1.576617578709499094250736085958523593116930681311729304814020076737491025149822e+07,6.500241902805421846477886923657942571307572457828540137665648880675108619081545e+11
734765661259,35090809500210,3010717,1716359748005,28343672,2.500374719123364311143998831548967545264601503151776812822352437080684929875566e+07,6.50049194027733418290900132354109746806209891797885531534693111591881668757456e+11
734798015101,35090841854052,3010718,1716359760001,32353842,2.854135422353708179141413687888286051809191233651080914532144748839386267300083e+07,6.500777353819569553726915464909886296667279837102220423438384330393700626201311e+11
734814732220,35090858571171,3010719,1716359772000,16717119,1.474720879981134665192131938312032299845198644643723618500296307306654125278371e+07,6.500924825907567667193434678103717499897264356966684795800234360024431291613787e+11
734882679690,35090926518641,3010720,1716359784000,67947470,5.994066154632047117635946576819488362793409392694973823809583284650848540742129e+07,6.501524232523030871905198272761399448733543697905954293182615318352896376467864e+11
734953097981,35090996936932,3010721,1716359796001,70418291,6.212020872948272513494184588598847770061838598598337569785408469098990610223034e+07,6.502145434610325699156547691220259333510549881765814126939593859199806275528943e+11
734964253904,35091008092855,3010722,1716359808001,11155923,9.841291303305597084945455972748224203754740969098256268953795367238439142125032e+06,6.502243847523358755127397145779986815752587429175505109502283397153478659920312e+11
734979486836,35091023325787,3010723,1716359844001,15232932,1.343785558973576794284826878346794717641293646891467991398045324281779007710902e+07,6.502378226079256112806825628467821495224351558540194256301423201685906837821134e+11
734996906185,35091040745136,3010724,1716359856000,17419349,1.53666172351271862330695794316672080405132473369417212441987644821929846741657e+07,6.502531892251607384669156324262138167304756691013563673513865189330728767667824e+11
735006630514,35091050469465,3010725,1716359868000,9724329,8.578390391791966933177426375220147948705989850771409070680017768346970627402595e+06,6.502617676155525304338488098525890368784243750912071387604571989508412237374135e+11
735022342370,35091066181321,3010726,1716359880000,15711856,1.386032959272788355466719140658848869742954837946533574898175325629416069151148e+07,6.502756279451452583174034770439956253671218046395866040962061807040975178981033e+11
735035008481,35091078847432,3010727,1716359892000,12666111,1.117349883346006728675455319591538370374461441135252973845673298420990455434094e+07,6.502868014439787183846902315971915407508255492539979566259446374370817278026586e+11
735041686734,35091085525685,3010728,1716359904001,6678253,5.891266032296174891408217622272855907192967193987298562470939325606552908479722e+06,6.502926927100110145595816398148138136067327422211919439245071083764073343555689e+11
735061742216,35091105581167,3010729,1716359916001,20055482,1.769207668981271996153889569155315711628405338068678693103010101173678014359352e+07,6.503103847867008272795431787105053667638490262745726307114381384774190711357082e+11
735107841702,35091151680653,3010730,1716359928000,46099486,4.066694696266953243301507339258563791739195925756875465040327359566137043077647e+07,6.503510517336634968119761937838979524017664182338301994660885417510147325061443e+11
735151888643,35091195727594,3010731,1716359940001,44046941,3.885623289011902849215718924345720862428025168675070956373215809641055647344989e+07,6.503899079665536158404683509731414096103906984855169501756522739091111430626139e+11
735166690508,35091210529459,3010732,1716359952002,14801865,1.305752481319113004952049182848253724465857591939767547106240506508314832469769e+07,6.504029654913668069705178714649698921476353570614363478511233363141762262109396e+11
735166717116,35091210556067,3010733,1716359964010,26608,23472.34579438806373765937856011813462512157772609592484040811730123750710802181,6.50402988963712601358581609124348452265769982183014073947048176722293527448443e+11
735198124677,35091241963628,3010734,1716359976002,31407561,2.77062978902007675866479700798411688172895941540980561090129475053581030559516e+07,6.50430695261602802126168257094428293434587271777168172003157189669798885551507e+11
