timestamp,distributedRewards,apr,cash
2024-05-22T09:09:48.0,653836375662,14.13,30988542798326
2024-05-22T09:19:48.0,653919683902,14.03,30988626106566
2024-05-22T09:29:54.0,654003229969,13.93,30988709652633
2024-05-22T09:39:54.0,654085359482,13.93,30988791782146
2024-05-22T09:49:54.0,654167489213,13.83,30988873911877
2024-05-22T10:00:00.0,654249844975,13.83,30988956267639
2024-05-22T10:10:00.0,654331385550,13.73,30989037808214
2024-05-22T10:18:00.0,654396146507,13.73,30989809914334
2024-05-22T10:20:06.0,654413146681,13.63,30989826914508
2024-05-22T10:30:12.0,654494313966,13.53,30989908081793
2024-05-22T10:40:12.0,654574088215,13.53,30989987856042
2024-05-22T10:50:12.0,654653862670,13.43,30990067630497
2024-05-22T11:00:18.0,654733839567,13.43,30990147607394
2024-05-22T11:10:24.0,654813816671,13.33,30990227584498
2024-05-22T11:20:24.0,654892412510,13.33,30990306180337
2024-05-22T11:30:30.0,654971794509,13.23,30990385562336
2024-05-22T11:40:30.0,655049801130,13.13,30990463568957
2024-05-22T11:50:36.0,655127992498,13.03,30990541760325
2024-05-22T12:00:36.0,655204820267,13.03,30990618588094
2024-05-22T12:10:36.0,655281648227,12.93,30990695416054
2024-05-22T12:20:42.0,655358649138,12.93,30990772416965
2024-05-22T12:30:48.0,655435650240,12.83,30990849418067
2024-05-22T12:40:54.0,655512056009,12.83,30990925823836
2024-05-22T12:50:54.0,655587705472,12.73,30991001473299
2024-05-22T13:01:00.0,655663516089,12.63,30991077283916
2024-05-22T13:11:00.0,655737986657,12.53,30991151754484
2024-05-22T13:21:06.0,655812606581,12.53,30991226374408
2024-05-22T13:22:42.0,655824427587,12.53,30991539833390
2024-05-22T13:31:06.0,655886488499,12.43,30991601894302
2024-05-22T13:41:12.0,655960513968,12.43,30991675919771
2024-05-22T13:51:18.0,656034539614,12.33,30991749945417
2024-05-22T14:01:18.0,656107242863,12.23,30991822648666
2024-05-22T14:11:24.0,656180077773,12.13,30991895483576
2024-05-22T14:21:24.0,656251602067,12.13,30991967007870
2024-05-22T14:31:30.0,656323841771,12.03,30992039247574
2024-05-22T14:41:00.0,656391229997,12.03,30992344371055
2024-05-22T14:41:30.0,656394776780,11.93,30992347917838
2024-05-22T14:50:00.0,656454570901,11.93,30992539739790
2024-05-22T14:51:36.0,656465826334,11.93,30992550995223
2024-05-22T15:01:36.0,656536172820,11.93,30992621341709
2024-05-22T15:08:42.0,656586118938,11.93,30991647503234
2024-05-22T15:11:36.0,656606518824,11.83,30991667903120
